ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,urban,Sanitation,2015,37.59741,161454017,Basic service
IND,India,rural,Drinking water,2015,34.82314,306695691.1,Basic service
IND,India,rural,Hygiene,2015,36.70025,323227792.1,Limited service
IND,India,urban,Hygiene,2015,16.05205,68932109.26,Limited service
IND,India,rural,Sanitation,2015,7.38753,65063694.09,Limited service
IND,India,urban,Sanitation,2015,19.32098,82969833.93,Limited service
IND,India,rural,Drinking water,2015,5.54213,48810887.35,Limited service
IND,India,urban,Drinking water,2015,2.95027,12669307.49,Limited service
IND,India,rural,Hygiene,2015,3.28839,28961659.18,No handwashing facility
IND,India,urban,Hygiene,2015,1.66788,7162356.676,No handwashing facility
IND,India,rural,Sanitation,2015,39.86396,351091360.9,Open defecation
IND,India,urban,Sanitation,2015,7.41789,31854532.8,Open defecation
IND,India,rural,Sanitation,2015,36.81607,324247856.9,Safely managed service
IND,India,urban,Sanitation,2015,33.43427,143576330.5,Safely managed service
IND,India,rural,Drinking water,2015,50.74886,446957206.8,Safely managed service
IND,India,rural,Drinking water,2015,1.005,8851235.884,Surface water
IND,India,urban,Drinking water,2015,0.24782,1064217.023,Surface water
IND,India,rural,Sanitation,2015,3.04626,26829111.03,Unimproved
IND,India,urban,Sanitation,2015,2.22945,9573893.735,Unimproved
IND,India,rural,Drinking water,2015,7.88087,69408690.84,Unimproved
IND,India,urban,Drinking water,2015,3.40084,14604191.9,Unimproved
IND,India,urban,Drinking water,2016,93.45515,410736629.8,At least basic
IND,India,rural,Hygiene,2016,60.01136,531110083.5,Basic service
IND,India,urban,Hygiene,2016,82.28007,361621969.5,Basic service
IND,India,rural,Sanitation,2016,13.5867,120244479.4,Basic service
IND,India,urban,Sanitation,2016,38.32058,168419457,Basic service
IND,India,rural,Drinking water,2016,33.88334,299872996.5,Basic service
IND,India,rural,Hygiene,2016,36.70025,324803049,Limited service
IND,India,urban,Hygiene,2016,16.05205,70548985.08,Limited service
IND,India,rural,Sanitation,2016,7.60985,67348360.31,Limited service
IND,India,urban,Sanitation,2016,19.35043,85045412.19,Limited service
IND,India,rural,Drinking water,2016,5.61329,49678484.24,Limited service
IND,India,urban,Drinking water,2016,3.01433,13248028.06,Limited service
IND,India,rural,Hygiene,2016,3.28839,29102804.38,No handwashing facility
IND,India,urban,Hygiene,2016,1.66788,7330357.357,No handwashing facility
IND,India,rural,Sanitation,2016,36.3728,321905118.2,Open defecation
IND,India,urban,Sanitation,2016,6.13189,26949725.28,Open defecation
IND,India,rural,Sanitation,2016,39.51467,349711150.1,Safely managed service
IND,India,urban,Sanitation,2016,34.32903,150876542.7,Safely managed service
IND,India,rural,Drinking water,2016,52.33162,463143165.8,Safely managed service
IND,India,rural,Drinking water,2016,0.95178,8423394.215,Surface water
IND,India,urban,Drinking water,2016,0.24572,1079930.946,Surface water
IND,India,rural,Sanitation,2016,2.91597,25806827.99,Unimproved
IND,India,urban,Sanitation,2016,1.86807,8210174.86,Unimproved
IND,India,rural,Drinking water,2016,7.21997,63897895.24,Unimproved
IND,India,urban,Drinking water,2016,3.2848,14436720.4,Unimproved
IND,India,urban,Drinking water,2017,93.50909,420599597,At least basic
IND,India,rural,Hygiene,2017,60.01136,533429767.3,Basic service
IND,India,urban,Hygiene,2017,82.28007,370091945.3,Basic service
IND,India,rural,Sanitation,2017,14.29307,127048429.8,Basic service
